"Name","House","Card Number","Raw Amber","Power","Armor","Anomaly","Reprint","Text","Aerc Score","Amber Control","Expected Amber","Aember Protection","Artifact Control","Creature Control","Effective Power","Efficiency","Disruption","House Cheating","Other"
"Mimic Gel","Logos","170","0","0","","","","Mimic Gel cannot be played unless there is another creature in play. Mimic Gel enters play as a copy of another creature in play, except it belongs to house Logos.","1.7","0","0","0","0","0","3","0","0","0","1"
"Neutron Shark","Logos","171","0","1","0","","true","Play/Fight/Reap: Destroy an enemy creature or artifact and a friendly creature or artifact. Discard 
​the top card of your deck. If that card is not a 
​Logos card, trigger this effect again.","0.4","0","0","0","0","0","0","0","0","0","0"
"Pocket Universe","Logos","172","0","","","","true","You may spend aember on Pocket Universe when forging keys. 
​Action: Move 1 aember from your pool to Pocket 
​Universe.","0","0","0","0","0","0","0","0","0","0","0"
"Prescriptive Grammarbot","Logos","173","0","3","","","","Taunt: Hazardous 3.

Reap: Enrage a creature.","1.7000000000000002","0","0","0","0","0.5","8","0","0","0","0"
"Replicator","Logos","174","0","2","0","","true","Reap: Trigger the reap effect of another creature in play as if you controlled 
​that creature. (That creature does not
​exhaust.)","0.4","0","0","0","0","0","0","0","0","0","0"
"Scientifical Hack","Logos","175","1","","","","true","Omni: Sacrifice Scientifical Hack. For the remainder of the turn, you may use 
​friendly artifacts as if they belonged to 
​the active house.","0","0","0","0","0","0","0","0","0","0","0"
"Self-Bolstering Automata","Logos","176","0","1","","","","Destroyed: If you have any other
creatures in play, instead of destroying
Self-Bolstering Automata, fully heal it,
exhaust it, and move it to a flank.
If you do, give it two +1 power counters.","0.9","0","0","0","0","0","5","0","0","0","0"
"Strange Gizmo","Logos","177","1","","","","true","After you forge a key, destroy each creature and artifact.","0","0","0","0","0","0","0","0","0","0","0"
"Universal Keylock","Logos","178","1","","","","","Keys cost +3 aember.

After a player forges a key, destroy Universal Keylock.","3","2","1","0","0","0","0","0","0","0","0"
"Universal Recycle Bin","Logos","179","1","","","","","Action: Archive a purged card you own.","1.5","0","1","0","0","0","0","0.5","0","0","0"
"Zenzizenzizenzic","Logos","180","0","4","2","","","During your ""draw cards"" step, if Zenzizenzizenzic is in the center of your battleline, refill your hand to 2 additional cards.","3","0","0","0","0","0","6","2","0","0","0"
"Velum","Logos","181","0","2","","","","Reap: Archive a card. If you control Hyde, archive 2 cards instead.

Destroyed: Archive Hyde from your discard pile. If you do, archive Velum.","2.6","0","0","0","0","0","2","2","0","0","0"
"Axiom of Grisk","SaurianRepublic","182","0","","","","","Play: Ward a creature. Destroy each creature with no aember on it. Gain 2 chains.","2.5","0","0","0","0","3","0","-0.5","0","0","0"
"Brutodon Auxillary","SaurianRepublic","183","0","6","","","","Taunt. Hazardous 2.","1.4","0","0","0","0","0","10","0","0","0","0"
"Chant of Hubris","SaurianRepublic","184","1","","","","","Play: Move 1 aember from a creature to another creature.","2.5","0.75","1.75","0","0","0","0","0","0","0","0"
"Imperial Scutum","SaurianRepublic","185","1","","","","","This creature gets +2 armor and gains, ""Destroyed: Move each aember on this creature to the common supply.""","2.2","1","1","0","0","0","2","0","0","0","0"
"Imperium","SaurianRepublic","186","1","","","","","Play: Ward 2 friendly creatures.","1.8","0","1","0","0","0","8","0","0","0","0"
"Legatus Raptor","SaurianRepublic","187","0","4","1","","","Fight: You may exalt Legatus Raptor. If you do, ready and use another friendly creature.","1.4","0","0","0","0","0","5","0","0","0.5","0"
"Odoac the Patrician","SaurianRepublic","188","0","5","0","","","Play: Capture 1 aember. While Odoac the Patrician has aember on it,
​your aember cannot be stolen.","2.4","0.5","0","1","0","0","5","0","0","0","0"
"Phalanx Strike","SaurianRepublic","189","1","","","","","Play: Choose a creature. Deal 1 damage to it for each friendly creature. You may 
​exalt a friendly creature to repeat the 
​preceding effect.","2.25","0","1","0","0","1.25","0","0","0","0","0"
"Praefectus Ludo","SaurianRepublic","190","0","5","0","","","Each other friendly creature gains, ""Destroyed: Move each aember on this
​creature to the common supply.""","2.4","1.5","0","0","0","0","5","0","0","0","0"
"Questor Jarta","SaurianRepublic","191","0","3","0","","","Elusive.

Reap: You may exalt Questor Jarta. If you do, gain 1 aember.","1.2","0","0.5","0","0","0","3","0","0","0","0"
"Rhetor Gallim","SaurianRepublic","192","0","3","0","","","Play: Your opponent's keys cost +3 aember during their next turn.
​Reap: You may exalt Rhetor Gallim. If
​you do, your opponent's keys cost +3 aember
​during their next turn.","2.6999999999999997","2","0","0","0","0","3","0","0","0","0"
"Senator Shrix","SaurianRepublic","193","0","4","1","","","You may spend aember on Senator Shrix as if it were in your pool.
​Play/Reap: You may exalt Senator Shrix.","1.9","0","1","0","0","0","5","0","0","0","0"
"The Golden Spiral","SaurianRepublic","194","0","","","","","Action: Exalt a friendly creature. Ready and use that creature.","1","-0.25","1","0","0","0","0","0","0","0.25","0"
"Thero Centurion","SaurianRepublic","195","0","6","1","","","Play/Fight: Capture 1 aember.","2.0999999999999996","1","0","0","0","0","7","0","0","0","0"
"Tribute","SaurianRepublic","196","1","","","","","Play: The most powerful friendly creature captures 2 aember. You may
​exalt that creature to repeat the
​preceding effect.","2.5","1.5","1","0","0","0","0","0","0","0","0"
"Tricerian Legionary","SaurianRepublic","197","0","5","1","","","Taunt.

Play: Ward a friendly creature.","1.9","0","0","0","0","0","15","0","0","0","0"
"Ancient Power","SaurianRepublic","198","1","","","","","Play: Ward each friendly creature with aember on it.","1.5","0","1","0","0","0","5","0","0","0","0"
"Centurion Stenopius","SaurianRepublic","199","0","3","2","","","Centurion Stenopius gets +3 power for each aember on it. 

Play/Fight/Reap: You may exault Centurion Stenopius.","1.4","0","0","0","0","0","10","0","0","0","0"
"City-State Interest","SaurianRepublic","200","0","","","","","Play: Each friendly creature captures 1 aember.","2.5","2.5","0","0","0","0","0","0","0","0","0"
"Draco Praeco","SaurianRepublic","201","0","4","0","","","Reap: You may exalt Draco Praeco. If you do, choose a house. Enrage each 
​creature of that house.","1.3","0","0","0","0","0.5","4","0","0","0","0"
"Exile","SaurianRepublic","202","1","","","","","Play: Give control of a friendly creature to your opponent.","1.5","1","1","0","0","0","-5","0","0","0","0"
"Gargantodon","SaurianRepublic","203","0","16","0","","","Gargantodon enters play stunned. Gargantodon only deals 4 damage when fighting.
​Each aember that would be stolen is captured
​by a creature controlled by the active
​player instead.","3.4","0","0","2","0","0","10","0","0","0","0"
"Library of Polliasaurus","SaurianRepublic","204","0","","","","","Action: Move 1 aember from a friendly creature to your pool.","2","1","1","0","0","0","0","0","0","0","0"
"Orator Hissaro","SaurianRepublic","205","0","3","0","","","Deploy.

Play: Ready and exalt each of Orator Hissaro's neighbors. For the
​remainder of the turn, they belong to
​house Saurian.","2.6999999999999997","-1","2","0","0","0","3","0","0","1","0"
"Paraguardian","SaurianRepublic","206","0","6","1","","","Reap: You may exalt Paraguardian. If you do, ward each of its neighbors.","1.6","0","0","0","0","0","12","0","0","0","0"
"Philophosaurus","SaurianRepublic","207","0","4","","","","Reap: You may look at the top 3 cards of your deck. Archive 1, add 1 to your hand, and discard 1.","2.3","0","0","0","0","0","4","1.5","0","0","0"
"Regrettable Meteor","SaurianRepublic","208","1","","","","","Play: Destroy each Dinosaur creature and each creature with power 6 
​or higher.","1","0","1","0","0","1","0","-1","0","0","0"
"Sic Semper Tyrannosaurus","SaurianRepublic","209","0","","","","","Play: Move each aember from the most powerful creature to your pool and 
​destroy that creature.","2.5","1","1","0","0","0.5","0","0","0","0","0"
"Stomp","SaurianRepublic","210","1","","","","","Play: Deal 5 damage to a creature. If this damage destroys that creature, exalt a 
​friendly creature.","1.75","-0.25","1","0","0","1","0","0","0","0","0"
"Terrordactyl","SaurianRepublic","211","0","12","0","","","Terrordactyl enters play stunned. Terrordactyl only deals 4 damage when fighting.
​Before Fight: Deal 4 damage to each neighbor 
​of the creature Terrordactyl fights.","1.9","0","0","0","0","0.5","10","0","0","0","0"
"The Callipygian Ideal","SaurianRepublic","212","0","","","","","Play: Exalt this creature. This creature gains, ""You may spend
​aember on this creature as if it were in your
​pool.""","2","1","1","0","0","0","0","0","0","0","0"
"Tribune Pompitus","SaurianRepublic","213","0","4","2","","","Each friendly creature gets +2 power for each aember on it.
​Before Fight: You may exalt 
​Tribune Pompitus.","1.4","0","0","0","0","0","10","0","0","0","0"
"Auto-Legionary","SaurianRepublic","214","0","","","","","Action: Put Auto-Legionary on a flank of your battleline. While in the battleline,
​it is considered a creature with 5 power 
​and belongs to all houses.","1.5","0","0","0","0","0","5","0","0","1","0"
"Cincinnatus Rex","SaurianRepublic","215","0","6","4","","","If there are no enemy creatures, destroy Cincinnatus Rex.
​Fight: You may exalt Cincinnatus Rex. If 
​you do, ready each other friendly card.","3.4","0","0","0","0","0","10","0","0","0","2"
"City Gates","SaurianRepublic","216","0","","","","","Action: A friendly creature captures 1 aember. If that creature is a Dinosaur, it captures
​2 aember instead.","1","1","0","0","0","0","0","0","0","0","0"
"Crassosaurus","SaurianRepublic","217","0","4","2","","","Elusive.

Play: Capture 10 aember from any combination of players. Then, if 
​Crassosaurus has fewer than 10 aember on it,
​purge Crassosaurus.","2","0.5","0.5","0","0","0","6","0","0","0","0"
"Diplo-Macy","SaurianRepublic","218","1","","","","","Alpha. Play: Until the start of your next turn,
​each creature gains, ""Before Fight:
​Exalt this creature.""","1.5","0","1","0","0","0","0","0","0","0","0.5"
"Favor of Rex","SaurianRepublic","219","1","","","","","Play: Trigger the play effect of a creature as if you had just played it.","1.5","0","1","0","0","0","0","0.5","0","0","0"
"Good of the Many","SaurianRepublic","220","0","","","","","Play: Destroy each creature that does not share a trait with another creature in its controller's battleline.","1.5","0","0","0","0","1.5","0","0","0","0","0"
"Grimlocus Dux","SaurianRepublic","221","0","11","2","","","Taunt.

Play: Exalt Grimlocus Dux twice.","1.4","-0.5","0","0","0","0","15","0","0","0","0"
"Imperial Forge","SaurianRepublic","222","1","","","","","Play: Forge a key at +8 aember current cost, reduced by 1 aember for each aember on friendly creatures.","2","0","1","1","0","0","0","0","0","0","0"
"Imperial Road","SaurianRepublic","223","0","","","","","Omni: Play a Saurian creature. That creature enters play stunned.","2","0","0","0","0","0","0","2","0","0","0"
"Kompsos Haruspex","SaurianRepublic","224","0","4","0","","","Each friendly creature's play effect is a play/reap effect.","1.3","0","0","0","0","0","4","0","0","0","0.5"
"Livia the Elder","SaurianRepublic","225","0","4","0","","","Reap: You may exalt Livia the Elder. If you do, each friendly creature's fight
​effects and reap effects are fight/reap
​effects for the remainder of the turn.","1.3","0","0","0","0","0","4","0","0","0","0.5"
"Primus Unguis","SaurianRepublic","226","0","5","1","","","Each friendly creature gets +2 power for each aember on Primus Unguis.
​Reap: Exalt Primus Unguis.","1.6","0","0","0","0","0","12","0","0","0","0"
"Saurus Rex","SaurianRepublic","227","0","6","0","","","Fight/Reap: If Saurus Rex is in the center of your batteline, you may exalt
​it. If you do, search your deck for a 
​Saurian card, reveal it, and add it to 
​your hand. Then, shuffle your deck.","2.5","0","0","0","0","0","6","1.5","0","0","0"
"Saury About That","SaurianRepublic","228","0","","","","","Play: Destroy a creature. Its controller gains 1 aember.","1","0","0.5","0","0","0.5","0","0","0","0","0"
"Senator Bracchus","SaurianRepublic","229","0","4","0","","","You may spend aember on friendly creatures as if it were in your pool.
​Fight/Reap: Exalt Senator Bracchus.","2.3","0.75","0.75","0","0","0","4","0","0","0","0"
"Sow Salt","SaurianRepublic","230","1","","","","","Alpha. Play: Until the start of your next turn,
​creatures cannot be used to reap.","1","0.5","0.5","0","0","0","0","0","0","0","0"
"Spartasaur","SaurianRepublic","231","0","6","1","","","After a friendly creature is destroyed, destroy each non-Dinosaur creature.
​Fight: Gain 2 aember.","3.5999999999999996","0","1","0","0","1.5","7","0","0","0","0"
"Tertiate","SaurianRepublic","232","1","","","","","Play: Destroy one third of all enemy creatures and one third of all friendly
​creatures (rounding up each time).","2","0","1","0","0","1","0","0","0","0","0"
"The Colosseum","SaurianRepublic","233","0","","","","","After an enemy creature is destroyed while fighting, put a glory counter on
​The Colosseum.
​Omni: If there are 6 or more glory counters on 
​The Colosseum, remove 6 and forge a key at
​current cost.","1.5","0","0","1.5","0","0","0","0","0","0","0"
"Triumph","SaurianRepublic","234","1","","","","","Play: If there are no enemy creatures, exalt each friendly creature. If you do and there are 6 or more friendly creatures, forge a key at no cost.","2","0","2","0","0","0","0","0","0","0","0"
"A. Vinda","Shadows","235","0","4","0","","","Reap: Deal 1 damage to a creature. If this damage destroys that creature, your
​opponent discards a random card from 
​their hand.","1.5499999999999998","0","0","0","0","0.25","4","0","0.5","0","0"
"Bad Penny","Shadows","236","0","1","0","","true","Destroyed: Return Bad Penny to your hand.","0.4","0","0","0","0","0","0","0","0","0","0"
"Breaker Hill","Shadows","237","0","1","0","","","Elusive.

Each of Breaker Hill's neighbors gains, ""Action: Steal 1 aember.""","1.1","0.5","0","0","0","0","2","0","0","0","0"
"Hit and Run","Shadows","238","0","","","","","Play: Deal 2 damage to a creature. Return a friendly creature to your hand.","1","0","0","0","0","0.75","0","0.25","0","0","0"
"Hock","Shadows","239","1","","","","","Play: Destroy an artifact. If you do, gain 1 aember.","3","0","1.5","0","1.5","0","0","0","0","0","0"
"Hugger-Mugger","Shadows","240","0","3","0","","","Elusive.

Play: Capture 1 aember. Then, if your opponent has more forged keys than you, steal 1 aember.","2.4","1","0.5","0","0","0","5","0","0","0","0"
"Inky Gloom","Shadows","241","0","","","","","Play: Your opponent cannot use creatures to reap on their next turn.","1","1","0","0","0","0","0","0","0","0","0"
"J. Vinda","Shadows","242","0","2","0","","","Elusive.

Reap: Deal 1 damage to a creature. If this damage destroys that creature, steal 1 aember.","2.05","0.5","0.5","0","0","0.25","4","0","0","0","0"
"Kymoor Eclipse","Shadows","243","0","","","","","Play: Shuffle each flank creature into its owner's deck.","1","0","0","0","0","1","0","0","0","0","0"
"Mug","Shadows","244","1","","","","","Play: Move 1 aember from a creature to your pool. Deal 2 damage to that creature.","2.5","0.5","1.5","0","0","0.5","0","0","0","0","0"
"Pestering Blow","Shadows","245","1","","","","","Play: Deal 1 damage to a creature and enrage it.","1.75","0","1","0","0","0.75","0","0","0","0","0"
"Ronnie Wristclocks","Shadows","246","0","2","0","","true","Play: Steal 1 aember. If your opponent has 7 aember or more, steal 2 aember instead.","0.4","0","0","0","0","0","0","0","0","0","0"
"Symon","Shadows","247","0","1","0","","","Skirmish. 

Fight: Put the creature Symon fights on top of its owner's deck.","1.5999999999999999","0","0","0","0","0.5","2","0","0.5","0","0"
"Trust No One","Shadows","248","0","","","","","Play: Steal 1 aember. If there are no friendly creatures in play, instead steal 1 aember for
​each house represented among enemy 
​creatures (to a maximum of 3).","3","1.5","1.5","0","0","0","0","0","0","0","0"
"Umbra","Shadows","249","0","2","0","","true","Fight: Steal 1 aember.","0.4","0","0","0","0","0","0","0","0","0","0"
"Yantzee Gang","Shadows","250","0","5","0","","true","Action: Steal 1 aember.","0.4","0","0","0","0","0","0","0","0","0","0"
"Brend the Fanatic","Shadows","251","0","3","0","","true","Play: Your opponent gains 1 aember. Destroyed: Steal 3 aember.","0.4","0","0","0","0","0","0","0","0","0","0"
"Chain Gang","Shadows","252","0","3","","","","After you play Subtle Chain, ready Chain Gang.

Action: Steal 1 Aember. Shuffle a Subtle Chain from your discard pile into your deck.","3.4499999999999997","1.25","1","0","0","0","3","0","0.5","0","0"
"Duskrunner","Shadows","253","0","","","","true","This creature gains, ""Reap: Steal 1 aember.""","0","0","0","0","0","0","0","0","0","0","0"
"Fidgit","Shadows","254","0","2","0","","","Elusive.

Reap: Discard a random card from your opponent's archives or the top card of
​their deck. If that card is an action, play
​it as if it were yours.","2.3","0","0","0","0","0","4","0.5","1","0","0"
"Hidden Stash","Shadows","255","1","","","","true","Play: Archive a card.","0","0","0","0","0","0","0","0","0","0","0"
"Into the Night","Shadows","256","0","","","","","Play: Until the start of your next turn, non-Shadows creatures cannot be used
​to fight.","0.3","0","0","0","0","0","3","0","0","0","0"
"No Safety in Numbers","Shadows","257","1","","","","","Play: Deal 3 damage to each creature that belongs to a house that has 3 or more 
​creatures in play.","2","0","1","0","0","1","0","0","0","0","0"
"Oubliette","Shadows","258","0","","","","true","Play: Purge a creature with power 3 or lower.","0","0","0","0","0","0","0","0","0","0","0"
"Skeleton Key","Shadows","259","0","","","","true","Action: A friendly creature captures 1 aember.","0","0","0","0","0","0","0","0","0","0","0"
"Special Delivery","Shadows","260","1","","","","true","Omni: Sacrifice Special Delivery. Deal 3 damage to a flank creature. If this damage destroys 
​that creature, purge it.","0","0","0","0","0","0","0","0","0","0","0"
"Spike Trap","Shadows","261","1","","","","","Omni: Sacrifice Spike Trap. If you do, deal 3 damage to each flank creature.","1.5","0","1","0","0","0.5","0","0","0","0","0"
"Subtle Chain","Shadows","262","1","","","","","Play: Your opponent discards a random card from their hand.","2","0","1","0","0","0","0","0","1","0","0"
"Subtle Maul","Shadows","263","0","","","","true","Action: Your opponent discards a random card from their hand.","0","0","0","0","0","0","0","0","0","0","0"
"Too Much to Protect","Shadows","264","1","","","","true","Play: Steal all but 6 of your opponent's aember.","0","0","0","0","0","0","0","0","0","0","0"
"Whisper","Shadows","265","0","3","0","","","Elusive.

Action: Lose 1 aember. If you do, destroy a creature.","1.15","0","0","0","0","0.25","5","0","0","0","0"
"Customs Office","Shadows","266","0","","","","true","Your opponent must pay you 1 aember in order to play an artifact.","0","0","0","0","0","0","0","0","0","0","0"
"Finch Cloak","Shadows","267","0","4","0","","","Fight/Reap: If you have less aember than your opponent, steal 1 aember. Otherwise, 
​each player gains 1 aember.","1.7999999999999998","0.5","0.5","0","0","0","4","0","0","0","0"
"Gambling Den","Shadows","268","1","","","","","At the start of each player's turn, that player may choose a house. If they do,
​reveal the top card of their deck. If it
​is of the named house, they gain 2 aember.
​Otherwise, they lose 2 aember.","1","0","1","0","0","0","0","0","0","0","0"
"Hunter or Hunted?","Shadows","269","1","","","","","Play: Ward a creature, or move a ward from a creature to another creature.","1.7","0","1","0","0","0","7","0","0","0","0"
"Key of Darkness","Shadows","270","0","","","","true","Play: Forge a key at +6 aember current cost. If your opponent has no aember, forge a key
​at +2 aember current cost instead.","0","0","0","0","0","0","0","0","0","0","0"
"Keyforgery","Shadows","271","1","","","","","When your opponent would forge a key, that player names a house. Reveal
​a random card from your hand. If that 
​card is not of the named house, destroy
​Keyforgery and they do not forge that
​key (no aember is spent).","2","1","1","0","0","0","0","0","0","0","0"
"Lethal Distraction","Shadows","272","1","","","","true","Play: Choose a creature. For the remainder of the turn, whenever this creature takes 
​damage, it takes an additional 2 damage.","0","0","0","0","0","0","0","0","0","0","0"
"Longfused Mines","Shadows","273","1","","","","true","Omni: Sacrifice Longfused Mines. Deal 3 damage to each enemy creature not on a flank.","0","0","0","0","0","0","0","0","0","0","0"
"Mack the Knife","Shadows","274","0","3","0","","true","You may use Mack the Knife as if it belonged to the active house. 
​Action: Deal 1 damage to a creature. 
​If this damage destroys that creature,
​gain 1 aember.","0.4","0","0","0","0","0","0","0","0","0","0"
"Manchego","Shadows","275","0","3","0","","","Play: If you have 5 or fewer cards in your deck, steal 2 aember.
​Fight/Reap: You may shuffle Manchego
​into your deck.","2.6999999999999997","1","1","0","0","0","3","0","0","0","0"
"Rigged Lottery","Shadows","276","1","","","","true","Play: Each player discards the top 5 cards of their deck. For each Shadows card 
​discarded, its owner gains 1 aember.","0","0","0","0","0","0","0","0","0","0","0"
"Ring of Invisibility","Shadows","277","1","","","","true","This creature gains elusive and skirmish.","0","0","0","0","0","0","0","0","0","0","0"
"Sack of Coins","Shadows","278","1","","","","true","Play: Deal 1 damage to a creature for each aember in your pool.","0","0","0","0","0","0","0","0","0","0","0"
"Scowly Caper","Shadows","279","0","2","0","","true","Scowly Caper enters play under your opponent’s control and can be used as if it belonged to any 
​house. 
​At the end of your turn, destroy one of Scowly 
​Caper’s neighbors.","0.4","0","0","0","0","0","0","0","0","0","0"
"Selwyn the Fence","Shadows","280","0","3","0","","true","Fight/Reap: Move 1 aember from one of your cards to your pool.","0.4","0","0","0","0","0","0","0","0","0","0"
"Sneklifter","Shadows","281","0","2","0","","true","Play: Take control of an enemy artifact. While under your control, if it does not 
​belong to one of your 3 houses, it is 
​considered to be of house Shadows.","0.4","0","0","0","0","0","0","0","0","0","0"
"The Quiet Anvil","Shadows","282","1","","","","","Keys cost -2 aember. After a player forges a key, destroy The
​Quiet Anvil.","2","0","2","0","0","0","0","0","0","0","0"
"The Shadow Council","Shadows","283","0","3","0","","","Elusive.

While The Shadow Council is in the center of your battleline, it gains,​ ""Action: Steal 2 aember.""","2.9","1.5","0.5","0","0","0","5","0","0","0","0"
"Treasure Map","Shadows","284","1","","","","true","Play: If you have not played any other cards this turn, gain 3 aember. For the remainder of 
​the turn, you cannot play cards.","0","0","0","0","0","0","0","0","0","0","0"
"Weasand","Shadows","285","0","1","0","","","Deploy. Elusive.

If Weasand is on a flank, destroy it. After a player forges a key, gain 2 aember.","1.5","0","1","0","0","0","1","0","0","0","0"
"Brobnar Plant","Shadows","286","0","1","0","","","Elusive.

After a player chooses Brobnar as their active house, gain 1 aember.","1.5999999999999999","0","1","0","0","0","2","0","0","0","0"
"Dis Plant","Shadows","287","0","1","","","","Elusive.

After a player chooses Dis as their active house, gain 1 aember.","1.5999999999999999","0","1","0","0","0","2","0","0","0","0"
"Logos Plant","Shadows","288","0","1","0","","","After a player chooses Logos as their active house, gain 1 aember.","1.5999999999999999","0","1","0","0","0","2","0","0","0","0"
"Saurian Plant","Shadows","289","0","1","0","","","After a player chooses Saurian as their active house, gain 1 aember.","1.5999999999999999","0","1","0","0","0","2","0","0","0","0"
"Star Alliance Plant","Shadows","290","0","1","0","","","After a player chooses Star Alliance as their active house, gain 1 aember.","1.5999999999999999","0","1","0","0","0","2","0","0","0","0"
"Untamed Plant","Shadows","291","0","1","0","","","After a player chooses Untamed as their active house, gain 1 aember.","1.5999999999999999","0","1","0","0","0","2","0","0","0","0"
"Armsmaster Molina","StarAlliance","292","0","4","0","","","Hazardous 3.

Each of Armsmaster Molina's neighbors gains hazardous 3.","1.6","0","0","0","0","0","12","0","0","0","0"
"Chief Engineer Walls","StarAlliance","293","0","2","0","","","Elusive.

Play/Fight/Reap: You may return an upgrade or Robot card from your
​discard pile to your hand.","1.7999999999999998","0","0","0","0","0","4","1","0","0","0"
"Cloaking Dongle","StarAlliance","294","1","","","","","This creature and each of its neighbors gain elusive.","1.4","0","1","0","0","0","4","0","0","0","0"
"Com. Officer Kirby","StarAlliance","295","0","3","0","","","Play/Fight/Reap: You may play a non- Star Alliance artifact, upgrade, or action
​card this turn.","2.6999999999999997","0","0","0","0","0","3","2","0","0","0"
"Commander Chan","StarAlliance","296","0","4","0","","","Fight/Reap: Use another friendly creature.","1.7999999999999998","0","0","0","0","0","4","0","0","1","0"
"Explo-rover","StarAlliance","297","0","3","0","","","Expo-rover may be played as an upgrade instead of a creature, with the
​text: ""This creature gains skirmish.""","1.5","0","0","0","0","0","6","0","0","0","0.5"
"First Officer Frane","StarAlliance","298","0","4","0","","","Play/Fight/Reap: A friendly creature captures 1 aember.","1.5499999999999998","0.75","0","0","0","0","4","0","0","0","0"
"Lieutenant Khrkhar","StarAlliance","299","0","5","0","","","","1.4","0","0","0","0","0","10","0","0","0","0"
"Light of the Archons","StarAlliance","300","1","","","","","This creature gets +1 power and +1 armor for each upgrade
​attached to it.","1.3","0","1","0","0","0","3","0","0","0","0"
"Medic Ingram","StarAlliance","301","0","3","","","","Play/Fight/Reap: You may heal 3 damage from a creature and ward it.","1.4","0","0","0","0","0","10","0","0","0","0"
"Molina's Blaster","StarAlliance","302","1","","","","","This creature gains, ""Fight/Reap: You may deal 2 damage to a creature, or attach
​Molina's Blaster to Armsmaster Molina.""
​After you attach Molina's Blaster to
​Armsmaster Molina, you may deal 3 damage
​to a creature.","2.25","0","1","0","0","1.25","0","0","0","0","0"
"Red Alert","StarAlliance","303","0","","","","","Play: If there are more enemy creatures than friendly creatures, deal damage
​to each enemy creature equal to
​the difference.","3","0","0","0","0","3","0","0","0","0","0"
"Sci. Officer Qincan","StarAlliance","304","0","2","0","","","Elusive.

After a player chooses an active house which matches no cards in play,
​steal 1 aember.","2.8","1","1","0","0","0","4","0","0","0","0"
"Sensor Chief Garcia","StarAlliance","305","0","3","0","","","Play/Fight/Reap: Keys cost +2 aember during your opponent's next turn.","2.6999999999999997","2","0","0","0","0","3","0","0","0","0"
"Stealth Mode","StarAlliance","306","1","","","","","Play: Your opponent cannot play action cards during their next turn.","3","0","1","0","0","0","0","0","2","0","0"
"Zap","StarAlliance","307","1","","","","","Play: Deal 1 damage to a creature for each house represented among creatures 
​in play.","2","0","1","0","0","1","0","0","0","0","0"
"CALV-1N","StarAlliance","308","0","2","1","","","Fight/Reap: Draw a card. 

CALV-1N may be played as an upgrade ​instead of a creature, with the text: ""This creature gains: 'Fight/Reap: Draw ​a card.'""","1.2","0","0","0","0","0","3","0.5","0","0","0"
"CX0 Taber","StarAlliance","309","0","3","0","","","Fight/Reap: You may play one or use one non-Star Alliance card this turn.","1.45","0","0","0","0","0","3","0.5","0","0.25","0"
"Force Field","StarAlliance","310","1","","","","","This creature gains: ""Reap: Ward this creature.""","1.7","0","1","0","0","0","7","0","0","0","0"
"Helmsman Spears","StarAlliance","311","0","2","0","","","Fight/Reap: Discard any number of cards from your hand. Draw a card for
​each card discarded this way.","2.1","0","0","0","0","0","2","1.5","0","0","0"
"Information Officer Gray","StarAlliance","312","0","4","0","","","Play/Fight/Reap: You may reveal a non- Star Alliance card from your hand. If you
​do, archive it.","2.3","0","0","0","0","0","4","1.5","0","0","0"
"Lay of the Land","StarAlliance","313","1","","","","","Play: Look at the top 3 cards of your deck and put them back in any order.
​Draw a card.","3","0","1","0","0","0","0","2","0","0","0"
"Navigator Ali","StarAlliance","314","0","3","0","","","Play/Fight/Reap: Look at the top 3 cards of your deck and put them back in
​any order.","0.95","0","0","0","0","0","3","0.25","0","0","0"
"Nurse Soto","StarAlliance","315","0","3","0","","","Deploy.

Play/Fight/Reap: Heal 3 damage from each of Nurse Soto's neighbors.","1","0","0","0","0","0","6","0","0","0","0"
"Quadracorder","StarAlliance","316","0","","","","","Your opponent's keys cost +1 aember for each house represented among friendly creatures (to a maximum of 3).","1.5","1.5","0","0","0","0","0","0","0","0","0"
"Quintrino Flux","StarAlliance","317","0","","","","","Play: Choose a friendly creature and an enemy creature. Destroy the
​chosen creatures and each creature
​with the same power as either of the
​chosen creatures.","2","0","0","0","0","2","0","0","0","0","0"
"Sci. Officer Morpheus","StarAlliance","318","0","2","1","","","After you play a creature with a play effect, trigger its play effect an
​additional time.","1.7","0","0","0","0","0","3","0","0","0","1"
"Stunner","StarAlliance","319","1","","","","","This creature gains, ""Fight/Reap: You may stun a creature.""","1.5","0","1","0","0","0.5","0","0","0","0","0"
"Tactical Officer Moon","StarAlliance","320","0","4","0","","","Play: You may rearrange the creatures in a player's battleline.","2","0","0","0","0","0","6","0","0","0","1"
"Transporter Platform","StarAlliance","321","1","","","","","Action: Return a friendly creature and each upgrade attached to it to your hand.","2","0","2","0","0","0","0","0","0","0","0"
"Universal Translator","StarAlliance","322","1","","","","","This creature gains, ""Fight/Reap: Use a friendly non-Star Alliance creature.""","1.75","0","1","0","0","0","0","0","0","0.75","0"
"Xenotraining","StarAlliance","323","1","","","","","Play: For each house represented among friendly creatures, a friendly 
​creature captures 1 aember.","2","1","1","0","0","0","0","0","0","0","0"
"Aembertracker","StarAlliance","324","0","4","0","","","Play: Deal 2 damage to each enemy creature with aember on it.
​This cannot be prevented by armor.","1.7999999999999998","0","0","0.25","0","0.75","4","0","0","0","0"
